VCD info: dumpfile FullAdder4bit.vcd opened for output.
  a   b | sum | expected sum | overflow | expected overflow
  0   7 |  7  |    0     |   0
  1  -8 | -7  |    0     |   0
  1  -7 | -6  |    0     |   0
  1  -6 | -5  |    0     |   0
  1  -5 | -4  |    0     |   0
  1  -4 | -3  |    0     |   0
  1  -3 | -2  |    0     |   0
  1  -2 | -1  |    0     |   0
  1  -1 |  0  |    0     |   1
  1   0 |  1  |    0     |   0
  1   1 |  2  |    0     |   0
  1   2 |  3  |    0     |   0
  1   3 |  4  |    0     |   0
  1   4 |  5  |    0     |   0
  1   5 |  6  |    0     |   0
  1   6 |  7  |    0     |   0
  1   7 | -8  |    1     |   0
  2  -8 | -6  |    0     |   0
  2  -7 | -5  |    0     |   0
  2  -6 | -4  |    0     |   0
  2  -5 | -3  |    0     |   0
  2  -4 | -2  |    0     |   0
  2  -3 | -1  |    0     |   0
  2  -2 |  0  |    0     |   1
  2  -1 |  1  |    0     |   1
  2   0 |  2  |    0     |   0
  2   1 |  3  |    0     |   0
  2   2 |  4  |    0     |   0
  2   3 |  5  |    0     |   0
  2   4 |  6  |    0     |   0
  2   5 |  7  |    0     |   0
  2   6 | -8  |    1     |   0
  2   7 | -7  |    1     |   0
  3  -8 | -5  |    0     |   0
  3  -7 | -4  |    0     |   0
  3  -6 | -3  |    0     |   0
  3  -5 | -2  |    0     |   0
  3  -4 | -1  |    0     |   0
  3  -3 |  0  |    0     |   1
  3  -2 |  1  |    0     |   1
  3  -1 |  2  |    0     |   1
  3   0 |  3  |    0     |   0
  3   1 |  4  |    0     |   0
  3   2 |  5  |    0     |   0
  3   3 |  6  |    0     |   0
  3   4 |  7  |    0     |   0
  3   5 | -8  |    1     |   0
  3   6 | -7  |    1     |   0
  3   7 | -6  |    1     |   0
  4  -8 | -4  |    0     |   0
  4  -7 | -3  |    0     |   0
  4  -6 | -2  |    0     |   0
  4  -5 | -1  |    0     |   0
  4  -4 |  0  |    0     |   1
  4  -3 |  1  |    0     |   1
  4  -2 |  2  |    0     |   1
  4  -1 |  3  |    0     |   1
  4   0 |  4  |    0     |   0
  4   1 |  5  |    0     |   0
  4   2 |  6  |    0     |   0
  4   3 |  7  |    0     |   0
  4   4 | -8  |    1     |   0
  4   5 | -7  |    1     |   0
  4   6 | -6  |    1     |   0
  4   7 | -5  |    1     |   0
  5  -8 | -3  |    0     |   0
  5  -7 | -2  |    0     |   0
  5  -6 | -1  |    0     |   0
  5  -5 |  0  |    0     |   1
  5  -4 |  1  |    0     |   1
  5  -3 |  2  |    0     |   1
  5  -2 |  3  |    0     |   1
  5  -1 |  4  |    0     |   1
  5   0 |  5  |    0     |   0
  5   1 |  6  |    0     |   0
  5   2 |  7  |    0     |   0
  5   3 | -8  |    1     |   0
  5   4 | -7  |    1     |   0
  5   5 | -6  |    1     |   0
  5   6 | -5  |    1     |   0
  5   7 | -4  |    1     |   0
  6  -8 | -2  |    0     |   0
  6  -7 | -1  |    0     |   0
  6  -6 |  0  |    0     |   1
  6  -5 |  1  |    0     |   1
  6  -4 |  2  |    0     |   1
  6  -3 |  3  |    0     |   1
  6  -2 |  4  |    0     |   1
  6  -1 |  5  |    0     |   1
  6   0 |  6  |    0     |   0
  6   1 |  7  |    0     |   0
  6   2 | -8  |    1     |   0
  6   3 | -7  |    1     |   0
  6   4 | -6  |    1     |   0
  6   5 | -5  |    1     |   0
  6   6 | -4  |    1     |   0
  6   7 | -3  |    1     |   0
  7  -8 | -1  |    0     |   0
  7  -7 |  0  |    0     |   1
  7  -6 |  1  |    0     |   1
  7  -5 |  2  |    0     |   1
  7  -4 |  3  |    0     |   1
  7  -3 |  4  |    0     |   1
  7  -2 |  5  |    0     |   1
  7  -1 |  6  |    0     |   1
  7   0 |  7  |    0     |   0
  7   1 | -8  |    1     |   0
  7   2 | -7  |    1     |   0
  7   3 | -6  |    1     |   0
  7   4 | -5  |    1     |   0
  7   5 | -4  |    1     |   0
  7   6 | -3  |    1     |   0
  7   7 | -2  |    1     |   0
